,title,description
3895,Riparian Corridors ECA,"<div><div><font size='3'>A polygon feature class showing Riparian Corridors in Seattle. Used to implement and regulate the City of Seattle's Environmentally Critical Areas policies. ��</font><font size='4'><span style='color: rgb(34, 34, 34); font-family: arial, sans-serif; line-height: 19.2px; background-color: rgb(255, 255, 255);'>A��</span><span style='color: rgb(34, 34, 34); font-family: arial, sans-serif; line-height: 19.2px; background-color: rgb(255, 255, 255);'>r</span><span style='color: rgb(34, 34, 34); font-family: arial, sans-serif; line-height: 19.2px; background-color: rgb(255, 255, 255);'>iparian</span><span style='color: rgb(34, 34, 34); font-family: arial, sans-serif; line-height: 19.2px; background-color: rgb(255, 255, 255);'>��zone or��</span><span style='color: rgb(34, 34, 34); font-family: arial, sans-serif; line-height: 19.2px; background-color: rgb(255, 255, 255);'>riparian</span><span style='color: rgb(34, 34, 34); font-family: arial, sans-serif; line-height: 19.2px; background-color: rgb(255, 255, 255);'>��area is the interface between land and a river or stream.</span></font></div><div><br /><font size='4'><span style='color: rgb(34, 34, 34); font-family: arial, sans-serif; line-height: 19.2px; background-color: rgb(255, 255, 255);'><span>Areas which are the riparian watercourse and the riparian 
management area. The riparian watercourse is the watercourse of Type 2-5
 waters defined in WAC 222-16-031 that have fish or wildlife habitat. </span><span><span>See
 code section number 25.09.020 of the Seattle Municipal Code for a more 
complete definition of environmentally critical areas:</span></span><span><span><span> https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT25ENPRHIPR_CH25.09REENCRAR</span></span></span></span></font></div></div>"
3896,2010 Traffic Flow Counts,"This contains data maintained by SDOT that is related to the study of traffic patterns in the city.�� The volumes in the data represent the Average Annual Weekday Traffic (AAWDT) (5-day, 24-hour) for that section of roadway.����<br /><br />| Attribute Information:��<a href='https://www.seattle.gov/Documents/Departments/SDOT/GIS/2010_Traffic_Flow_Counts_OD.pdf' target='_blank'>https://www.seattle.gov/Documents/Departments/SDOT/GIS/2010_Traffic_Flow_Counts_OD.pdf</a> <br /><br />| Update Cycle: As Needed <br />| Contact Email:��<a href='mailto:DOT_IT_GIS@seattle.gov' target='_blank'>DOT_IT_GIS@seattle.gov</a>"
3897,2012 Traffic Flow Counts,"This contains data maintained by SDOT that is related to the study of traffic patterns in the city.�� The volumes in the data represent the Average Annual Weekday Traffic (AAWDT) (5-day, 24-hour) for that section of roadway.����<br /><br />| Attribute Information:��<a href='https://www.seattle.gov/Documents/Departments/SDOT/GIS/2012_Traffic_Flow_Counts_OD.pdf' target='_blank'>https://www.seattle.gov/Documents/Departments/SDOT/GIS/2012_Traffic_Flow_Counts_OD.pdf</a> <br /><br />| Update Cycle: As Needed <br />| Contact Email:��<a href='mailto:DOT_IT_GIS@seattle.gov' target='_blank'>DOT_IT_GIS@seattle.gov</a>"
3898,MIO MPC Zones,"<div style='text-align:Left; font-size:12pt;'><div><div><p><span>These layers are used as part of the City of Seattle Zoned Development Capacity Model.</span></p><p><span></span></p><p><span>To estimate potential development, the City of Seattle maintains a zoned development capacity model that compares existing development to an estimate of what could be built under current zoning. </span></p><p><span></span></p><p><span>The difference between existing and potential development yields the capacity for new residential and commercial development.</span></p><p><span></span></p><p><span>There is a </span><a href='http://www.seattle.gov/dpd/cs/groups/pan/@pan/documents/web_informational/p2182731.pdf' rel='nofollow ugc' style='text-decoration:underline;'><span>report</span></a><span> of summary findings available as part of Seattle 2035 as well as </span><a href='https://www.seattle.gov/opcd/population-and-demographics/zoned-development-capacity' rel='nofollow ugc' style='text-decoration:underline;'><span>resources</span></a><span> for reports, methodologies and data.</span></p><p><span style='font-size: 15px;'>When downloading the data, please select a layer and then &quot;GDB Download&quot; under &quot;Additional Resources&quot; to preserve long field names.�� The associated file geodatabase contains all the feature classes for the 10 layers represented.</span><span><br /></span></p></div></div></div>"
3899,2011 Traffic Flow Counts,"This contains data maintained by SDOT that is related to the study of traffic patterns in the city.�� The volumes in the data represent the Average Annual Weekday Traffic (AAWDT) (5-day, 24-hour) for that section of roadway.����<br /><br />| Attribute Information:��<a href='https://www.seattle.gov/Documents/Departments/SDOT/GIS/2011_Traffic_Flow_Counts_OD.pdf' target='_blank'>https://www.seattle.gov/Documents/Departments/SDOT/GIS/2011_Traffic_Flow_Counts_OD.pdf</a> <br /><br />| Update Cycle: As Needed <br />| Contact Email:��<a href='mailto:DOT_IT_GIS@seattle.gov' target='_blank'>DOT_IT_GIS@seattle.gov</a>"
3900,Paid Area Curbspaces,"Describes the type of space along a blockface.�� Location: Downtown Seattle, First Hill, Capitol Hill and South Lake Union����<br /> <br />| Attribute Information: <a href='https://drive.google.com/open?id=1rTX02Gdw6SeE9tzS0o6x_rr3Ccu7Vvyf' target='_blank'>Curbspaces_OD.pdf</a>��<br /><br />| Update Cycle: Weekly�� <br />| Contact Email:��<a href='mailto:DOT_IT_GIS@seattle.gov' target='_blank'>DOT_IT_GIS@seattle.gov</a>"
3901,Wildlife Corridors ECA,"<div><span><div>A polygon feature class showing Wildlife Corridors in the City of Seattle. Used to implement and regulate the City of Seattle's Environmentally Critical Areas policies. <br /></div><div><p style='margin:0 0 0 0;'><span><span>Corridors that connect priority 
habitats and species areas or habitat areas for wildlife species of 
local importance that meet criteria established by the Washington State 
Department of Fish and Wildlife.</span></span></p><p><span><span>See 
code section number 25.09.020 of the Seattle Municipal Code for a more 
complete definition of environmentally critical areas: 
https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT25ENPRHIPR_CH25.09REENCRAR</span></span></p></div></span></div>"
3902,Seattle On Street Parking: Rates Vary by Time of Day,"This application can be used to help figure out where to park.�� Includes information such as pay stations, pay by phone location codes, parking limits, and pay rates."
3903,2008 Traffic Flow Counts,"This contains data maintained by SDOT that is related to the study of traffic patterns in the city.  The volumes in the data represent the Average Annual Weekday Traffic (AAWDT) (5-day, 24-hour) for that section of roadway.  <br /><br />| Attribute Information:��<a href='https://www.seattle.gov/Documents/Departments/SDOT/GIS/2008_Traffic_Flow_Counts_OD.pdf' target='_blank'>https://www.seattle.gov/Documents/Departments/SDOT/GIS/2008_Traffic_Flow_Counts_OD.pdf</a> <br /><br />| Update Cycle: As Needed <br />| Contact Email:��<a href='mailto:DOT_IT_GIS@seattle.gov' target='_blank'>DOT_IT_GIS@seattle.gov</a>"
3904,Dwelling Units FY 2013,"The Department of Building and Safety issues permits for the construction, remodeling, and repair of buildings and structures in the City of Los Angeles.  Permits are categorized into building permits, electrical permits, and mechanical permits (which include plumbing, HVAC systems, fire sprinklers, elevators, and pressure vessels).  Depending on the complexity of a project, a permit may be issued the same day with Express Permit or e-Permit (""No Plan Check"" category), or a permit may require that the plans be reviewed (""Plan Check"" category) by a Building and Safety Plan Check personnel."
3905,Freight Network,"Streets within Seattle that have been identified, through the Freight Master Plan Process, as providing vital connections for the movement of freight.�� <br /><br />| Attribute Information:��<a href='https://drive.google.com/open?id=1VB9YcJherxHJynT3z1tBafGHwfWhTud3' target='_blank'>Freight_Network_OD.pdf</a><br />| Website:��<a href='https://www.seattle.gov/transportation/document-library/citywide-plans/modal-plans/freight-master-plan' target='_blank'>https://www.seattle.gov/transportation/document-library/citywide-plans/modal-plans/freight-master-plan</a>��<br /><br />| Update Cycle: As Needed ��<br />| Contact Email:��<a href='mailto:DOT_IT_GIS@seattle.gov' target='_blank'>DOT_IT_GIS@seattle.gov</a>"
3906,Census Tracts 2000,"<div><b> </b> Census Tracts are small, relatively permanent statistical 
subdivisions of a county or equivalent entity that are updated by local 
participants prior to each decennial census as part of the Census 
Bureau's Participant Statistical Areas Program. The Census Bureau 
delineates census tracts in situations where no local participant 
existed or where state, local, or tribal governments declined to 
participate. The primary purpose of census tracts is to provide a stable
 set of geographic units for the presentation of statistical data.
Census tracts generally have a population size between 1,200 and 8,000 
people, with an optimum size of 4,000 people. A census tract usually 
covers a contiguous area; however, the spatial size of census tracts 
varies widely depending on the density of settlement. Census tract 
boundaries are delineated with the intention of being maintained over a 
long time so that statistical comparisons can be made from census to 
census. Census tracts occasionally are split due to population growth or
 merged as a result of substantial population decline. <br /></div>"
3907,Electricians,"The Department of Building and Safety issues permits for the construction, remodeling, and repair of buildings and structures in the City of Los Angeles.  Permits are categorized into building permits, electrical permits, and mechanical permits (which include plumbing, HVAC systems, fire sprinklers, elevators, and pressure vessels).  Depending on the complexity of a project, a permit may be issued the same day with Express Permit or e-Permit (""No Plan Check"" category), or a permit may require that the plans be reviewed (""Plan Check"" category) by a Building and Safety Plan Check personnel."
3908,Census Tracts 2010,"Census Tracts are small, relatively permanent statistical subdivisions 
of a county or equivalent entity that are updated by local participants 
prior to each decennial census as part of the Census Bureau's 
Participant Statistical Areas Program. The Census Bureau delineates 
census tracts in situations where no local participant existed or where 
state, local, or tribal governments declined to participate. The primary
 purpose of census tracts is to provide a stable set of geographic units
 for the presentation of statistical data.
Census tracts generally have a population size between 1,200 and 8,000 
people, with an optimum size of 4,000 people. A census tract usually 
covers a contiguous area; however, the spatial size of census tracts 
varies widely depending on the density of settlement. Census tract 
boundaries are delineated with the intention of being maintained over a 
long time so that statistical comparisons can be made from census to 
census. Census tracts occasionally are split due to population growth or
 merged as a result of substantial population decline."
3909,Building Outlines 1999,"<span>�� <div>Building Outlines Derived From 1999 Digital Orthophotos. Delineates building rooflines. Data tables contain peak elevations &amp; building type. The 1999 Bldg data includes the existing buildings from the original 1993 data plus new construction since 1993. Also, demolished buildings were removed from the data, and other changes to buildings, such as additions or partial demolition were reflected.�� NOTE: All buildings that were not added or updated by Triathlon are directly from the 1993 Building data. Therefore most of the 1999 attribute data is actually exactly the same as the 1993 attribute data, including erroneous data. The vendor was not responsible for checking or correcting attribute data associated with existing buildings unless the building vectors required changes. For example, the 1993 orthophotography quality was quite poor in many areas and many buildings were coded as OBS because their outlines were simply not visible enough. With the 1999 orthophotography we now able to clearly make out most details that were not evident in the 1993 orthophotography. So you will see many buildings in the 1999 data coded as OBS that are clearly not obscured.�� The poor quality of the 1993 orthophotography also interferes with sorting out the updated buildings from the old existing bldgs because many of the 1993 bldgs were not put in quite right due to the fuzzy 1993 ortho quality. Many of these existing bldgs ended up being &quot;updated&quot; by Triathlon.</div></span><br />"
3910,Curb Spaces and Temporary No Parking,"<span style='background-color:rgb(255, 255, 255);'><b>Curb Space, Temporary No Parking,�� </b><font><b>Peak Hour Parking Restrictions </b><span style='font-size:17px;'><b>and</b></span><b>��Street Parking Sign��</b></font><b>Information.</b></span><div><span style='font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:17px; background-color:rgb(255, 255, 255);'><br /></span></div><div><span style='background-color:rgb(255, 255, 255);'><font style=''><div style='font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:17px;'>Map 1 - purpose is to give basic Curb Space information to assist with paid parking space reservations.<br /></div><div style='font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:17px;'><a href='https://seattlecitygis.maps.arcgis.com/home/webmap/viewer.html?webmap=30336414682a48b299434f1b52bab2ae' rel='nofollow ugc'>https://seattlecitygis.maps.arcgis.com/home/webmap/viewer.html?webmap=30336414682a48b299434f1b52bab2ae</a><span style='font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif;'><br /></span></div><div style='font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:17px;'><br /></div><div style=''><font><span style='font-size:17px;'>Map 2 - purpose is to provide the public with context on Temporary No Parking Zones. This map only applies to <b><i>paid parking areas.����</i></b></span></font></div><div style='font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:17px;'><a href='https://seattlecitygis.maps.arcgis.com/home/webmap/viewer.html?webmap=d7656d5b6d2f42be8ed462ddaa305f58' rel='nofollow ugc'>https://seattlecitygis.maps.arcgis.com/home/webmap/viewer.html?webmap=d7656d5b6d2f42be8ed462ddaa305f58</a><br /></div><div style='font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:17px;'><br /></div><div style='font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:17px;'><div>Map 3 - purpose is to provide the public with context on Temporary No Parking Zones. This map only applies to <b><i>uppaid parking areas.����</i></b></div><div><br /></div></div><div style=''><div style='font-family:&quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size:15px;'><font><span style='font-size:17px;'>Map 4 -��</span></font><span style='font-size:16px; font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif;'>Parking Restrictions during specific time periods of the day in the City of Seattle. Description Identifies parking spaces where vehicles are not permitted to stop or park during specific time periods, as stated on the sign.</span></div><div style='font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:17px;'><a href='https://seattlecitygis.maps.arcgis.com/home/webmap/viewer.html?webmap=4ed13eb4f0834713ba8ffdd3085f7e60' rel='nofollow ugc'>https://seattlecitygis.maps.arcgis.com/home/webmap/viewer.html?webmap=4ed13eb4f0834713ba8ffdd3085f7e60</a><br /></div><div style='font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:"
3911,Seattle On Street Paid Parking-Evening Rates,"A map of the locations and rates of evening(<i>5pm to 8pm/10pm</i>) on-street paid parking in Seattle, WA.  <br /><br />
Displays the location and per hour pricing for on-street paid parking within designated SDOT parking areas. This map is externally facing for the public to view.  Street sides colored red do not allow paid parking, while green colored sides offer paid parking for the time period specified for a parking area. Parking Areas are color coded by their evening rates.  Paid parking rates are consistent within a paid area.  <br /><br />This map is contained in the Paid Parking App. &gt;��<a href='https://seattlecitygis.maps.arcgis.com/apps/MapSeries/index.html?appid=5fc6cb313ec34374a3141d4d24b05c5d' rel='nofollow ugc' target='_blank'>https://seattlecitygis.maps.arcgis.com/apps/MapSeries/index.html?appid=5fc6cb313ec34374a3141d4d24b05c5d</a><div><br /></div><div>| Contact:��SDOT GIS Team��<br />| Contact Email:��<a href='mailto:DOT_IT_GIS@seattle.gov' rel='nofollow ugc' target='_blank'>DOT_IT_GIS@seattle.gov</a><br /></div>"
3912,Seattle On Street Paid Parking-Morning Rates,"A map of the locations and rates of morning<i>(8am to 11am) </i>on-street paid parking in Seattle, WA.  <br /><br />Displays the location and per hour pricing for on-street paid parking within designated SDOT parking areas. This map is externally facing for the public to view.�� ��Street sides colored red do not allow paid parking, while green colored sides offer paid parking for the time period specified for a parking area.�� Parking Areas are color coded by their morning rates.  Paid parking rates are consistent within a paid area.  <br /><br />This map is contained in the Paid Parking App. &gt;��<a href='https://seattlecitygis.maps.arcgis.com/apps/MapSeries/index.html?appid=5fc6cb313ec34374a3141d4d24b05c5d' rel='nofollow ugc' target='_blank'>https://seattlecitygis.maps.arcgis.com/apps/MapSeries/index.html?appid=5fc6cb313ec34374a3141d4d24b05c5d</a>"
3913,Design Review Equity Areas,"<p><span style='mso-bidi-font-family:&quot;Microsoft Sans Serif&quot;'>Design
Review Equity Areas are areas of Seattle where</span> <span style='mso-bidi-font-family:
&quot;Microsoft Sans Serif&quot;'>applicants for development projects going through the
City���s </span><a href='https://www.seattle.gov/sdci/about-us/who-we-are/design-review'><span style='mso-bidi-font-family:&quot;Microsoft Sans Serif&quot;'>Design Review</span></a><span style='mso-bidi-font-family:&quot;Microsoft Sans Serif&quot;'> program are required to work
with staff from the Department of Neighborhoods (DON) to customize their community
outreach plan to the needs of historically underrepresented communities. </span></p>

<p><span style='mso-bidi-font-family:
&quot;Microsoft Sans Serif&quot;'>��</span></p>

<p><span style='mso-bidi-font-family:&quot;Microsoft Sans Serif&quot;'>Equity
Areas are identified based on local demographic and socioeconomic
characteristics from the US Census Bureau. Equity Areas are census tracts
having a census-tract average greater than the city-as-a-whole average for at
least two of the following characteristics:</span></p>

<p><span style='mso-bidi-font-family:&quot;Microsoft Sans Serif&quot;'>1.
Limited English proficiency, identified as percentage of households that</span></p>

<p><span style='mso-bidi-font-family:&quot;Microsoft Sans Serif&quot;'>are
linguistically isolated households.</span></p>

<p><span style='mso-bidi-font-family:&quot;Microsoft Sans Serif&quot;'>2.
People of Color, identified as percentage of the population that is not non-Hispanic
white; and</span></p>

<p><span style='mso-bidi-font-family:&quot;Microsoft Sans Serif&quot;'>3.
Income, identified as percentage of population with income below 200% of the
federal poverty level.</span></p>

<p><span style='mso-bidi-font-family:&quot;Microsoft Sans Serif&quot;'>��</span></p>

<p><span style='mso-bidi-font-family:&quot;Microsoft Sans Serif&quot;'>For
more information please see </span><a href='http://www.seattle.gov/dpd/codes/dr/DR2018-4.pdf'><span style='mso-bidi-font-family:
&quot;Microsoft Sans Serif&quot;'>Director���s Rule for Early Community Outreach for Design
Review</span></a><span style='mso-bidi-font-family:&quot;Microsoft Sans Serif&quot;'>.
Additional resources and </span><a href='https://www.seattle.gov/neighborhoods/outreach-and-engagement/design-review-for-early-outreach/dr_faq_don'><span style='mso-bidi-font-family:&quot;Microsoft Sans Serif&quot;'>FAQs</span></a><span style='mso-bidi-font-family:&quot;Microsoft Sans Serif&quot;'> are available on </span><a href='https://www.seattle.gov/neighborhoods/outreach-and-engagement/design-review-for-early-outreach/dr_faq_don'><span style='mso-bidi-font-family:&quot;Microsoft Sans Serif&quot;'>DON���s Early Community
Outreach webpage</span></a><span style='mso-bidi-font-family:&quot;Microsoft Sans Serif&quot;'>.</span></p>

<p><span style='mso-bidi-font-family:&quot;Microsoft Sans Serif&quot;'>��</span></p>

<p><span style='mso-bidi-font-family:&quot;Microsoft Sans Serif&quot;'>Data
Source: US Census Bureau���s </span><a href='https://www.census.gov/programs-surveys/acs/'><span style='mso-bidi-font-family:
&quot;Microsoft Sans Serif&quot;'>American Community Survey</span></a><span style='mso-bidi-font-family:&quot;Microsoft Sans Serif&quot;'> 2016 Five-Year Estimates.</span></p>

<p><span style='mso-bidi-font-family:&quot;Microsoft Sans Serif&quot;'>��</span></p>

<div><span style='font-size:11.0pt;line-height:107%;font-family:&quot;Calibri&quot;,sans-serif;
mso-ascii-theme-font:minor-latin;mso-fareast-font-family:&quot;Times New Roman&quot;;
mso-fareast-theme-font:minor-fareast;mso-hansi-theme-font:minor-latin;
mso-bidi-font-family:&quot;Microsoft Sans Serif&quot;;mso-ansi-language:EN-US;mso-fareast-language:
EN-US;mso-bidi-language:AR-SA'>This map will be evaluated and updated every
three years.</span></div><div><span style='font-size:11.0pt;line-height:107%;font-family:&quot;Calibri&quot;,sans-serif;
mso-ascii"
3914,Census Blocks 2000,"A census block is the smallest geographic unit used by the 
United States Census Bureau for tabulation of 100-percent data (data 
collected from all houses, rather than a sample of houses). Census 
blocks are grouped into block groups, which are grouped into census 
tracts. There are on average about 39 blocks per block group. Blocks 
typically have a four-digit number; the first number indicates which 
block group the block is in. For example, census block 3019 would be in 
block group 3.
Blocks are typically bounded by streets, roads or creeks. In cities, a 
census block may correspond to a city block, but in rural areas where 
there are fewer roads, blocks may be limited by other features."
3915,Common Place Names (CPN),A point feature class showing common place names and corresponding locations.
3916,2016 SFR Permits (Bldg-addition/alter),"The Department of Building and Safety issues permits for the construction, remodeling, and repair of buildings and structures in the City of Los Angeles.  Permits are categorized into building permits, electrical permits, and mechanical permits (which include plumbing, HVAC systems, fire sprinklers, elevators, and pressure vessels).  Depending on the complexity of a project, a permit may be issued the same day with Express Permit or e-Permit (""No Plan Check"" category), or a permit may require that the plans be reviewed (""Plan Check"" category) by a Building and Safety Plan Check personnel."
3917,Community Reporting Areas,"Community reporting areas (CRAs) are designed to address a gap that existed in city geography. The task of reporting citywide information at a ""community-like level"" across all departments was either not undertaken or it was handled in inconsistent ways across departments. The CRA geography provides a ""common language"" for geographic description of the city for reporting purposes. Therefore, this geography may be used by departments for geographic reporting and tracking purposes, as appropriate. The following criteria for a CRA geography were defined for this effort: -no overlapping areas; -complete coverage of the city; -suitable scale to represent neighborhood areas/conditions; -reasonably stable over time; -consistent with census geography; -relatively easy to use in a data context; -familiar system of common place names; and, -respects neighborhood district geography. The following existing geographies were reviewed during this effort: -neighborhood planning areas (DON); -neighborhood districts (DON/CNC/Neighborhood District Councils); -city sectors/neighborhood plan implementation areas (DON); -urban centers/urban villages (DPD); -population sub-areas (DPD); -Neighborhood Map Atlas (City Clerk); -Census 2000 geography; -topography; and, -various other geographic information sources related to neighborhood areas and common place names. This is not an attempt to identify neighborhood boundaries as defined by neighborhoods themselves."
3918,Urban Centers Villages and Manufacturing Industrial Centers,"<p style='font-family: &quot;Avenir LT W01 35 Light&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 16px;'>Growth data for housing units and employment for the growth areas, urban centers and villages, for the City of Seattle Comprehensive Plan.</p><p style='font-family: &quot;Avenir LT W01 35 Light&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 16px;'></p><p style='font-family: &quot;Avenir LT W01 35 Light&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 16px;'>Housing unit growth is reported quarterly from the city's permitting system while employment change is reported annually from the State of Washington QCEW data.</p>"
3919,Peak Hour Parking Restrictions,"Identifies parking spaces where vehicles are not permitted to stop or park during specific time periods (as stated on sign).����<br /><br />| Attribute Information:��<a href='https://www.seattle.gov/Documents/Departments/SDOT/GIS/Peak_Hour_Parking_Restrictions_OD.pdf' target='_blank'>https://www.seattle.gov/Documents/Departments/SDOT/GIS/Peak_Hour_Parking_Restrictions_OD.pdf</a> <br /><br />
| Data Update Cycle: Weekly��<br />| Contact Email:��<a href='mailto:DOT_IT_GIS@seattle.gov' target='_blank'>DOT_IT_GIS@seattle.gov</a>"
3920,Restricted Parking Zone (RPZ) Program,"Displays the locations and attributes of SDOT Restricted Parking Zones (RPZs) and local zone sub-areas. Residents with RPZ permits have special parking privileges in their zone. RPZ residents may acquire the application form for a permit by clicking the link in a popup on an RPZ.<div><br /></div><div>This map is contained in the RPZ App &gt;��<a href='https://seattlecitygis.maps.arcgis.com/apps/webappviewer/index.html?id=841750505ef54eb1959c7f015cb2cb7e' rel='nofollow ugc' target='_blank'>https://seattlecitygis.maps.arcgis.com/apps/webappviewer/index.html?id=841750505ef54eb1959c7f015cb2cb7e</a>��<br /></div><div><span style='font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;'>| Webpage:��</span><a href='https://www.seattle.gov/transportation/projects-and-programs/programs/parking-program/restricted-parking-zone-program' rel='nofollow ugc' target='_blank'>https://www.seattle.gov/transportation/projects-and-programs/programs/parking-program/restricted-parking-zone-program</a><br /></div><div><span style='font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;'>| Contact Email:��</span><a href='mailto:DOT_IT_GIS@seattle.gov' rel='nofollow ugc' style='color:rgb(0, 121, 193); text-decoration-line:none; font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;' target='_blank'>DOT_IT_GIS@seattle.gov</a><br /></div>"
3921,New Permits 91601,"The Department of Building and Safety issues permits for the construction, remodeling, and repair of buildings and structures in the City of Los Angeles.  Permits are categorized into building permits, electrical permits, and mechanical permits (which include plumbing, HVAC systems, fire sprinklers, elevators, and pressure vessels).  Depending on the complexity of a project, a permit may be issued the same day with Express Permit or e-Permit (""No Plan Check"" category), or a permit may require that the plans be reviewed (""Plan Check"" category) by a Building and Safety Plan Check personnel."
3922,Census Blocks 2010,"The TIGER/Line Files are shapefiles and related database files (.dbf) 
that are an extract of selected geographic and cartographic information 
from the U.S. Census Bureau's Master Address File / Topologically 
Integrated Geographic Encoding and Referencing (MAF/TIGER) Database 
(MTDB). The MTDB represents a seamless national file with no overlaps or
 gaps between parts, however, each TIGER/Line File is designed to stand 
alone as an independent data set, or they can be combined to cover the 
entire nation. Census Blocks are statistical areas bounded on all sides 
by visible features, such as streets, roads, streams, and railroad 
tracks, and/or by nonvisible boundaries such as city, town, township, 
and county limits, and short line-of-sight extensions of streets and 
roads. Census blocks are relatively small in area; for example, a block 
in a city bounded by streets. However, census blocks in remote areas are
 often large and irregular and may even be many square miles in area. A 
common misunderstanding is that data users think census blocks are used 
geographically to build all other census geographic areas, rather all 
other census geographic areas are updated and then used as the primary 
constraints, along with roads and water features, to delineate the 
tabulation blocks. As a result, all 2010 Census blocks nest within every
 other 2010 Census geographic area, so that Census Bureau statistical 
data can be tabulated at the block level and aggregated up to the 
appropriate geographic areas. Census blocks cover all territory in the 
United States, Puerto Rico, and the Island Areas (American Samoa, Guam, 
the Commonwealth of the Northern Mariana Islands, and the U.S. Virgin 
Islands). Blocks are the smallest geographic areas for which the Census 
Bureau publishes data from the decennial census. A block may consist of 
one or more faces."
3923,High Impact Areas,"Provides a visual representation of areas that are of heightened concern for SDOT Street Use, whether because of intense development and construction activity, increased scrutiny, increased safety concerns, or other reason.��<br /><br />| Attibute Information:��<a href='https://drive.google.com/open?id=1dKqQhXR9nB6ksMKs6TxyKrXpSKrePLoo' target='_blank'>High_Impact_Areas_OD.pdf</a><br /><br />| Update Cycle: As Needed����<br />| Contact Email:��<a href='mailto:DOT_IT_GIS@seattle.gov' target='_blank'>DOT_IT_GIS@seattle.gov</a>  <br /><br />Common SDOT Queries: <br />|��<a href='https://data-seattlecitygis.opendata.arcgis.com/datasets/high-impact-areas/data?where=STATUS%20like%20%27%25HUB%25%27' target='_blank'>SDOT HUBS</a>��<br />STATUS = 'HUB'<br /><br /><a href='https://www.seattle.gov/transportation/projects-and-programs/programs/project-and-construction-coordination-office/construction-hub-coordination' target='_blank'>https://www.seattle.gov/transportation/projects-and-programs/programs/project-and-construction-coordination-office/construction-hub-coordination</a>"
3924,Intersections,Location of street intersections within the City of Seattle.  <br /><br />| Attribute Information:��<a href='https://www.seattle.gov/Documents/Departments/SDOT/GIS/Intersections_OD.pdf' target='_blank'>https://www.seattle.gov/Documents/Departments/SDOT/GIS/Intersections_OD.pdf</a>��<br /><br />| Data Update Cycle: Weekly��<br />| Contact Email:��<a href='mailto:DOT_IT_GIS@seattle.gov' target='_blank'>DOT_IT_GIS@seattle.gov</a>
